AREA,N° CRUCE,INTERSECCIÓN,Controlador tipo,Centralizado ,Restan cambiar,En sistema,Conexión,Proyecto,Subárea,Edad
4,4348,Alvarez Thomas Av.-Loreto Virrey/Calabria,Autotrol CT800dmc,SI,,Icarus,Par telefónico,-,401,1
4,4349,Lacroze Federico Av.-Córdoba Av.-Giribone,Autotrol CT800dmc,SI,,A30,Par telefónico,Lacroze / Álvarez Thomas,402,1
4,4350,Lavalle-Bulnes,Autotrol CT800dmc,SI,,A30,Par telefónico,Corrientes / Salguero,408,1
4,4351,Dorrego Av.-Vega Niceto Cnel.-Álvarez Thomas,Autotrol CT800dmc,SI,,A30,Par telefónico,Córdoba/Dorrego,403,1
4,4352,Vega Niceto Cnel.-Bonpland,Autotrol CT800dmc,SI,,A30,Par telefónico,Córdoba/Dorrego,403,1
4,4353,Vega Niceto Cnel.-Uriarte,Autotrol CT800dmc,SI,,A30,Par telefónico,Córdoba / Thames,405,1
4,4354,Vega Niceto Cnel.-Serrano,Autotrol CT800dmc,SI,,A30,Par telefónico,Córdoba / Thames,405,1
4,4355,Lacroze Federico Av.-Roseti,Autotrol CT800dmc,SI,,A30,Par telefónico,Lacroze / Álvarez Thomas,402,1
4,4356,Lacroze Federico Av.-Fraga,Autotrol CT800dmc,SI,,A30,Par telefónico,Lacroze / Álvarez Thomas,402,1
4,4357,Newbery Jorge-Roseti,Autotrol CT800dmc,SI,,A30,Par telefónico,Córdoba/Dorrego,403,1
4,4358,Honduras-Serrano,Autotrol CT800dmc,NO,,Aislado,,Córdoba / Thames,405,1
4,4359,Thames-Vera,Autotrol CT800dmc,SI,,Icarus,Par telefónico,,404,1
4,4360,Ramírez de Velasco J.-Bonpland,Autotrol CT800dmc,NO,,Aislado,,Córdoba/Dorrego,403,1
4,4361,Cabrera Jose Antonio-Gallo,Autotrol CT800dmc,SI,,A30,Par telefónico,Córdoba / Medrano,407,1
4,4362,Vega Niceto Cnel.-Arévalo,Autotrol CT800dmc,SI,,A30,Par telefónico,Córdoba/Dorrego,403,1
4,4363,Humahuaca-Acuña de Figueroa F.,Autotrol CT800dmc,SI,,A30,Par telefónico,Corrientes / Salguero,408,1
4,4364,Newbery Jorge-Guevara,Autotrol CT800dmc,SI,,A30,Par telefónico,Córdoba/Dorrego,403,1
4,4365,Serrano-Loyola,Autotrol CT800dmc,NO,,Aislado,,Thames,404,1
4,4366,Dorrego Av.-Villarroel,Autotrol CT800dmc,SI,,A30,Par telefónico,Córdoba/Dorrego,403,1
4,4367,Serrano-Castillo,Autotrol CT800dmc,NO,,Aislado,,Thames,404,1
4,4368,Cabrera José Antonio-Bravo Mario,Autotrol CT800dmc,SI,,A30,Par telefónico,Córdoba / Medrano,407,1
4,4369,Dorrego Av.-Guevara-Velasco,Autotrol CT800dmc,NO,,Aislado,,Córdoba/Dorrego,403,1
4,4370,Cabrera José Antonio-Bulnes,Autotrol CT800dmc,SI,,A30,Par telefónico,Córdoba / Medrano,407,1
4,4371,Cabrera José Antonio-Salguero Jerónimo,Autotrol CT800dmc,SI,,A30,Par telefónico,Córdoba / Medrano,407,1
4,4372,Medrano Av.-Cabrera José Antonio,Autotrol CT800dmc,SI,,A30,Par telefónico,Córdoba / Medrano,407,1
4,4373,Gascón-Cabrera José Antonio,Autotrol CT800dmc,SI,,A30,Par telefónico,Córdoba / Medrano,407,1
4,4374,Gascón-Honduras,Autotrol CT800dmc,SI,,A30,Par telefónico,Córdoba / Medrano,407,1
4,4375,Cabrera José Antonio-Billinghurst,Autotrol CT800dmc,SI,,A30,Par telefónico,Córdoba / Medrano,407,1
4,4376,Dorrego Av.-Roseti/Loyola,Autotrol CT800dmc,SI,,A30,Par telefónico,Córdoba/Dorrego,403,1
4,4377,Lacroze Federico Av.-Zapiola,Autotrol CT800dmc,NO,,Aislado,,Lacroze / Álvarez Thomas,402,1
4,4378,Dorrego Av.-Crámer-Costa Rica,Autotrol CT800dmc,NO,,Aislado,,Córdoba/Dorrego,403,1
4,4379,Lacroze Federico Av.-Conde,Autotrol CT800dmc,NO,,Aislado,,Lacroze / Álvarez Thomas,402,1
4,4380,Ramírez de Velasco J.-Thames,Autotrol CT800dmc,NO,,Aislado,,Thames,404,1
4,4381,Ramírez de Velasco J.-Serrano,Autotrol CT800dmc,NO,,Aislado,,Thames,404,1
4,4382,Lacroze Federico Av.-Freire Ramón Cap. Gral.,Autotrol CT800dmc,NO,,Aislado,,Lacroze / Álvarez Thomas,402,1
4,4383,Dorrego Av.-Honduras - Zapiola,Autotrol CT800dmc,NO,,Aislado,,Córdoba/Dorrego,403,1
4,4384,Freire Ramón Cap. Gral.-Céspedes,Autotrol CT800dmc,NO,,Aislado,,Lacroze / Álvarez Thomas,402,1
